Time (ms),Cell 1 (mV),Cell 2 (mV),Cell 3 (mV)
0.1,-65,-60,-60
1.1,-65.0969,-62.5103,-61.082
2.1,-65.156,-63.4116,-62.3527
3.1,-65.1834,-63.9883,-63.256
4.1,-65.1991,-64.3803,-63.8779
5.1,-65.2115,-64.6491,-64.3044
6.1,-65.2237,-64.8348,-64.5974
7.1,-65.2363,-64.9647,-64.7998
8.1,-65.2494,-65.0569,-64.9411
9.1,-65.2626,-65.1237,-65.041
10,-65.2743,-65.1688,-65.1067
10.1,-65.2755,-65.1731,-65.1129
11.1,-65.288,-65.2106,-65.1657
12.1,-65.2998,-65.2398,-65.2055
13.1,-65.3108,-65.2632,-65.2363
14.1,-65.3209,-65.2822,-65.2606
15.1,-65.3302,-65.2981,-65.2804
16.1,-65.3387,-65.3115,-65.2967
17.1,-65.3463,-65.3231,-65.3105
18.1,-65.3532,-65.3331,-65.3222
19.1,-65.3594,-65.3419,-65.3324
20,-65.3645,-65.3488,-65.3405
20.1,-65.365,-65.3496,-65.3413
21.1,-65.37,-65.3564,-65.3491
22.1,-65.3745,-65.3624,-65.356
23.1,-65.3785,-65.3678,-65.3621
24.1,-65.3821,-65.3725,-65.3675
25.1,-65.3853,-65.3768,-65.3723
26.1,-65.3881,-65.3806,-65.3766
27.1,-65.3907,-65.384,-65.3804
28.1,-65.393,-65.387,-65.3838
29.1,-65.395,-65.3897,-65.3868
30,-65.3967,-65.3918,-65.3893
30.1,-65.3968,-65.3921,-65.3895
31.1,-65.3985,-65.3942,-65.3919
32.1,-65.3999,-65.3961,-65.3941
33.1,-65.4012,-65.3978,-65.396
34.1,-65.4024,-65.3993,-65.3977
35.1,-65.4034,-65.4007,-65.3993
36.1,-65.4043,-65.4019,-65.4006
37.1,-65.4052,-65.403,-65.4018
38.1,-65.4059,-65.404,-65.4029
39.1,-65.4065,-65.4048,-65.4039
40,-65.4071,-65.4055,-65.4047
40.1,-65.4071,-65.4056,-65.4048
41.1,-65.4077,-65.4063,-65.4056
42.1,-65.4081,-65.4069,-65.4062
43.1,-65.4085,-65.4074,-65.4069
44.1,-65.4089,-65.4079,-65.4074
45.1,-65.4093,-65.4084,-65.4079
46.1,-65.4096,-65.4088,-65.4084
47.1,-65.4098,-65.4091,-65.4087
48.1,-65.4101,-65.4094,-65.4091
49.1,-65.4103,-65.4097,-65.4094
50,-65.4104,-65.4099,-65.4097
50.1,-65.4105,-65.41,-65.4097
51.1,-65.4106,-65.4102,-65.4099
52.1,-65.4108,-65.4104,-65.4102
53.1,-65.4109,-65.4106,-65.4104
54.1,-65.411,-65.4107,-65.4105
55.1,-65.4111,-65.4109,-65.4107
56.1,-65.4112,-65.411,-65.4109
57.1,-65.4113,-65.4111,-65.411
58.1,-65.4114,-65.4112,-65.4111
59.1,-65.4115,-65.4113,-65.4112
60,-65.4115,-65.4114,-65.4113
60.1,-65.4115,-65.4114,-65.4113
61.1,-65.4116,-65.4114,-65.4114
62.1,-65.4116,-65.4115,-65.4114
63.1,-65.4117,-65.4116,-65.4115
64.1,-65.4117,-65.4116,-65.4116
65.1,-65.4117,-65.4117,-65.4116
66.1,-65.4118,-65.4117,-65.4117
67.1,-65.4118,-65.4117,-65.4117
68.1,-65.4118,-65.4118,-65.4117
69.1,-65.4119,-65.4118,-65.4118
70,-65.4119,-65.4118,-65.4118
70.1,-65.4119,-65.4118,-65.4118
71.1,-65.4119,-65.4118,-65.4118
72.1,-65.4119,-65.4119,-65.4118
73.1,-65.4119,-65.4119,-65.4119
74.1,-65.4119,-65.4119,-65.4119
75.1,-65.4119,-65.4119,-65.4119
76.1,-65.412,-65.4119,-65.4119
77.1,-65.412,-65.4119,-65.4119
78.1,-65.412,-65.412,-65.4119
79.1,-65.412,-65.412,-65.412
80,-65.412,-65.412,-65.412
80.1,-65.412,-65.412,-65.412
81.1,-65.412,-65.412,-65.412
82.1,-65.412,-65.412,-65.412
83.1,-65.412,-65.412,-65.412
84.1,-65.412,-65.412,-65.412
85.1,-65.412,-65.412,-65.412
86.1,-65.412,-65.412,-65.412
87.1,-65.412,-65.412,-65.412
88.1,-65.412,-65.412,-65.412
89.1,-65.412,-65.412,-65.412
90,-65.412,-65.412,-65.412
90.1,-65.412,-65.412,-65.412
91.1,-65.412,-65.412,-65.412
92.1,-65.412,-65.412,-65.412
93.1,-65.412,-65.412,-65.412
94.1,-65.412,-65.412,-65.412
95.1,-65.412,-65.412,-65.412
96.1,-65.412,-65.412,-65.412
97.1,-65.412,-65.412,-65.412
98.1,-65.412,-65.412,-65.412
99.1,-65.412,-65.412,-65.412
100,-65.412,-65.412,-65.412
100.1,-65.412,-65.412,-65.412
101.1,-61.1651,-64.2527,-65.1456
102.1,-56.9888,-61.7461,-63.7228
103.1,-53.178,-58.834,-61.435
104.1,-49.0912,-55.6217,-58.6438
105.1,-40.6121,-51.2781,-55.3033
106.1,13.5045,-33.8149,-48.2836
107.1,28.8177,-7.58642,-28.64
108.1,19.234,2.01911,-10.9558
109.1,6.81228,3.37293,-1.70252
110,-4.54373,0.48631,0.63998
110.1,-5.77228,-0.00132721,0.624613
111.1,-17.6583,-6.14031,-1.80978
112.1,-30.7202,-14.2245,-7.32561
113.1,-55.4959,-27.1693,-15.8488
114.1,-63.5781,-41.1814,-28.5401
115.1,-62.3137,-48.4931,-39.5949
116.1,-59.6964,-52.1091,-46.8001
117.1,-57.0764,-53.6163,-50.8715
118.1,-54.7731,-53.8822,-52.8029
119.1,-52.8424,-53.4485,-53.3821
120,-51.4191,-52.7499,-53.2093
120.1,-51.2796,-52.6628,-53.1634
121.1,-50.1105,-51.7617,-52.5239
122.1,-49.4438,-50.9394,-51.7309
123.1,-49.4632,-50.3928,-51.0037
124.1,-50.2522,-50.3018,-50.5454
125.1,-51.513,-50.7019,-50.5024
126.1,-52.6911,-51.4021,-50.868
127.1,-53.4415,-52.1284,-51.4743
128.1,-53.7378,-52.6984,-52.1106
129.1,-53.7031,-53.0495,-52.6281
130,-53.5074,-53.1894,-52.9388
130.1,-53.4802,-53.1962,-52.9639
131.1,-53.1842,-53.1874,-53.1191
132.1,-52.8962,-53.0819,-53.1305
133.1,-52.6666,-52.934,-53.0482
134.1,-52.5203,-52.7875,-52.9217
135.1,-52.4605,-52.672,-52.7917
136.1,-52.4731,-52.6018,-52.6866
137.1,-52.5332,-52.5777,-52.6206
138.1,-52.6131,-52.5905,-52.5955
139.1,-52.6895,-52.6257,-52.6037
140,-52.7424,-52.6645,-52.6295
140.1,-52.7471,-52.6688,-52.633
141.1,-52.7802,-52.7082,-52.6705
142.1,-52.79,-52.737,-52.7058
143.1,-52.7825,-52.7529,-52.7324
144.1,-52.765,-52.757,-52.7478
145.1,-52.7444,-52.7524,-52.7526
146.1,-52.726,-52.743,-52.7494
147.1,-52.7129,-52.7323,-52.7415
148.1,-52.706,-52.723,-52.7321
149.1,-52.7047,-52.7165,-52.7238
150,-52.707,-52.7135,-52.7182
150.1,-52.7074,-52.7133,-52.7178
151.1,-56.7437,-53.8368,-52.9761
152.1,-59.8157,-55.9855,-54.2812
153.1,-61.64,-57.9741,-56.103
154.1,-62.7052,-59.5977,-57.9088
155.1,-63.3484,-60.8633,-59.4685
156.1,-63.7598,-61.8302,-60.7288
157.1,-64.0409,-62.5633,-61.7131
158.1,-64.2457,-63.1191,-62.4691
159.1,-64.4037,-63.5426,-63.0464
160,-64.5194,-63.8393,-63.4487
160.1,-64.5311,-63.8683,-63.4878
161.1,-64.6371,-64.1216,-63.8274
162.1,-64.7275,-64.3214,-64.0912
163.1,-64.8057,-64.4813,-64.2988
164.1,-64.874,-64.6111,-64.4643
165.1,-64.9341,-64.718,-64.5983
166.1,-64.9871,-64.8072,-64.7082
167.1,-65.0341,-64.8825,-64.7996
168.1,-65.0757,-64.9466,-64.8765
169.1,-65.1126,-65.0018,-64.9419
170,-65.1423,-65.0451,-64.9927
170.1,-65.1454,-65.0496,-64.9979
171.1,-65.1746,-65.0912,-65.0464
172.1,-65.2005,-65.1276,-65.0885
173.1,-65.2236,-65.1596,-65.1254
174.1,-65.2441,-65.1877,-65.1576
175.1,-65.2623,-65.2126,-65.1861
176.1,-65.2785,-65.2346,-65.2111
177.1,-65.293,-65.254,-65.2333
178.1,-65.3059,-65.2713,-65.253
179.1,-65.3173,-65.2867,-65.2704
180,-65.3266,-65.299,-65.2844
180.1,-65.3275,-65.3003,-65.2858
181.1,-65.3367,-65.3124,-65.2996
182.1,-65.3448,-65.3232,-65.3118
183.1,-65.352,-65.3328,-65.3226
184.1,-65.3585,-65.3414,-65.3323
185.1,-65.3642,-65.349,-65.3409
186.1,-65.3694,-65.3558,-65.3486
187.1,-65.3739,-65.3618,-65.3554
188.1,-65.378,-65.3672,-65.3615
189.1,-65.3817,-65.3721,-65.367
190,-65.3846,-65.3759,-65.3713
190.1,-65.3849,-65.3764,-65.3718
191.1,-65.3878,-65.3802,-65.3761
192.1,-65.3904,-65.3836,-65.38
193.1,-65.3927,-65.3866,-65.3834
194.1,-65.3948,-65.3894,-65.3865
195.1,-65.3967,-65.3918,-65.3892
196.1,-65.3983,-65.394,-65.3917
197.1,-65.3998,-65.3959,-65.3939
198.1,-65.4011,-65.3976,-65.3958
199.1,-65.4023,-65.3992,-65.3975
200,-65.4032,-65.4004,-65.3989
200.1,-65.4033,-65.4005,-65.3991
201.1,-65.4042,-65.4018,-65.4005
202.1,-65.4051,-65.4029,-65.4017
203.1,-65.4058,-65.4039,-65.4028
204.1,-65.4065,-65.4047,-65.4038
205.1,-65.4071,-65.4055,-65.4047
206.1,-65.4076,-65.4062,-65.4055
207.1,-65.4081,-65.4068,-65.4062
208.1,-65.4085,-65.4074,-65.4068
209.1,-65.4089,-65.4079,-65.4074
210,-65.4092,-65.4083,-65.4078
210.1,-65.4092,-65.4083,-65.4079
211.1,-65.4095,-65.4087,-65.4083
212.1,-65.4098,-65.4091,-65.4087
213.1,-65.41,-65.4094,-65.4091
214.1,-65.4102,-65.4097,-65.4094
215.1,-65.4104,-65.4099,-65.4097
216.1,-65.4106,-65.4102,-65.4099
217.1,-65.4108,-65.4104,-65.4101
218.1,-65.4109,-65.4105,-65.4103
219.1,-65.411,-65.4107,-65.4105
220,-65.4111,-65.4108,-65.4107
220.1,-65.4111,-65.4108,-65.4107
221.1,-65.4112,-65.411,-65.4108
222.1,-65.4113,-65.4111,-65.411
223.1,-65.4114,-65.4112,-65.4111
224.1,-65.4115,-65.4113,-65.4112
225.1,-65.4115,-65.4114,-65.4113
226.1,-65.4116,-65.4114,-65.4114
227.1,-65.4116,-65.4115,-65.4114
228.1,-65.4117,-65.4116,-65.4115
229.1,-65.4117,-65.4116,-65.4116
230,-65.4117,-65.4116,-65.4116
230.1,-65.4117,-65.4117,-65.4116
231.1,-65.4118,-65.4117,-65.4117
232.1,-65.4118,-65.4117,-65.4117
233.1,-65.4118,-65.4118,-65.4117
234.1,-65.4119,-65.4118,-65.4118
235.1,-65.4119,-65.4118,-65.4118
236.1,-65.4119,-65.4118,-65.4118
237.1,-65.4119,-65.4119,-65.4118
238.1,-65.4119,-65.4119,-65.4119
239.1,-65.4119,-65.4119,-65.4119
240,-65.4119,-65.4119,-65.4119
240.1,-65.4119,-65.4119,-65.4119
241.1,-65.412,-65.4119,-65.4119
242.1,-65.412,-65.4119,-65.4119
243.1,-65.412,-65.412,-65.4119
244.1,-65.412,-65.412,-65.412
245.1,-65.412,-65.412,-65.412
246.1,-65.412,-65.412,-65.412
247.1,-65.412,-65.412,-65.412
248.1,-65.412,-65.412,-65.412
249.1,-65.412,-65.412,-65.412
250,-65.412,-65.412,-65.412
250.1,-65.412,-65.412,-65.412
251.1,-61.1651,-64.2527,-65.1455
252.1,-56.9887,-61.746,-63.7228
253.1,-53.178,-58.8339,-61.435
254.1,-49.0912,-55.6217,-58.6438
255.1,-40.612,-51.2781,-55.3033
256.1,13.5045,-33.8148,-48.2836
257.1,28.8176,-7.58642,-28.64
258.1,19.2339,2.01909,-10.9558
259.1,6.81222,3.3729,-1.70254
260,-4.5438,0.486267,0.639949
260.1,-5.77234,-0.00137154,0.624581
261.1,-17.6584,-6.14036,-1.80982
262.1,-30.7203,-14.2245,-7.32566
263.1,-55.496,-27.1694,-15.8488
264.1,-63.5781,-41.1815,-28.5402
265.1,-62.3136,-48.4931,-39.595
266.1,-59.6964,-52.1092,-46.8001
267.1,-57.0763,-53.6163,-50.8716
268.1,-54.773,-53.8822,-52.8029
269.1,-52.8424,-53.4485,-53.3821
270,-51.4191,-52.7499,-53.2093
270.1,-51.2796,-52.6628,-53.1634
271.1,-50.1105,-51.7617,-52.5239
272.1,-49.4438,-50.9394,-51.7309
273.1,-49.4632,-50.3928,-51.0037
274.1,-50.2522,-50.3018,-50.5454
275.1,-51.513,-50.7019,-50.5024
276.1,-52.6911,-51.4021,-50.868
277.1,-53.4415,-52.1284,-51.4743
278.1,-53.7378,-52.6984,-52.1106
279.1,-53.7031,-53.0495,-52.6281
280,-53.5074,-53.1894,-52.9388
280.1,-53.4801,-53.1962,-52.9639
281.1,-53.1842,-53.1874,-53.1191
282.1,-52.8962,-53.0819,-53.1305
283.1,-52.6666,-52.934,-53.0482
284.1,-52.5203,-52.7875,-52.9217
285.1,-52.4605,-52.672,-52.7917
286.1,-52.4731,-52.6018,-52.6866
287.1,-52.5332,-52.5777,-52.6206
288.1,-52.6131,-52.5905,-52.5955
289.1,-52.6895,-52.6257,-52.6037
290,-52.7424,-52.6645,-52.6295
290.1,-52.7471,-52.6688,-52.633
291.1,-52.7802,-52.7082,-52.6705
292.1,-52.79,-52.737,-52.7058
293.1,-52.7825,-52.7529,-52.7324
294.1,-52.765,-52.757,-52.7478
295.1,-52.7444,-52.7524,-52.7526
296.1,-52.726,-52.743,-52.7494
297.1,-52.7129,-52.7323,-52.7415
298.1,-52.706,-52.723,-52.7321
299.1,-52.7047,-52.7165,-52.7238
300,-52.707,-52.7135,-52.7182
300.1,-52.7074,-52.7133,-52.7178
301.1,-56.7437,-53.8368,-52.9761
302.1,-59.8157,-55.9855,-54.2812
303.1,-61.64,-57.9741,-56.103
304.1,-62.7052,-59.5977,-57.9088
305.1,-63.3484,-60.8633,-59.4685
306.1,-63.7598,-61.8302,-60.7288
307.1,-64.0409,-62.5633,-61.7131
308.1,-64.2457,-63.1191,-62.4691
309.1,-64.4037,-63.5426,-63.0464
310,-64.5194,-63.8393,-63.4487
310.1,-64.5311,-63.8683,-63.4878
311.1,-64.6371,-64.1216,-63.8274
312.1,-64.7275,-64.3214,-64.0912
313.1,-64.8057,-64.4813,-64.2988
314.1,-64.874,-64.6111,-64.4643
315.1,-64.9341,-64.718,-64.5983
316.1,-64.9871,-64.8072,-64.7082
317.1,-65.0341,-64.8825,-64.7996
318.1,-65.0757,-64.9466,-64.8765
319.1,-65.1126,-65.0018,-64.9419
320,-65.1423,-65.0451,-64.9927
320.1,-65.1454,-65.0496,-64.9979
321.1,-65.1746,-65.0912,-65.0464
322.1,-65.2005,-65.1276,-65.0885
323.1,-65.2236,-65.1596,-65.1254
324.1,-65.2441,-65.1877,-65.1576
325.1,-65.2623,-65.2126,-65.1861
326.1,-65.2785,-65.2346,-65.2111
327.1,-65.293,-65.254,-65.2333
328.1,-65.3059,-65.2713,-65.253
329.1,-65.3173,-65.2867,-65.2704
330,-65.3266,-65.299,-65.2844
330.1,-65.3275,-65.3003,-65.2858
331.1,-65.3367,-65.3124,-65.2996
332.1,-65.3448,-65.3232,-65.3118
333.1,-65.352,-65.3328,-65.3226
334.1,-65.3585,-65.3414,-65.3323
335.1,-65.3642,-65.349,-65.3409
336.1,-65.3694,-65.3558,-65.3486
337.1,-65.3739,-65.3618,-65.3554
338.1,-65.378,-65.3672,-65.3615
339.1,-65.3817,-65.3721,-65.367
340,-65.3846,-65.3759,-65.3713
340.1,-65.3849,-65.3764,-65.3718
341.1,-65.3878,-65.3802,-65.3761
342.1,-65.3904,-65.3836,-65.38
343.1,-65.3927,-65.3866,-65.3834
344.1,-65.3948,-65.3894,-65.3865
345.1,-65.3967,-65.3918,-65.3892
346.1,-65.3983,-65.394,-65.3917
347.1,-65.3998,-65.3959,-65.3939
348.1,-65.4011,-65.3976,-65.3958
349.1,-65.4023,-65.3992,-65.3975
350,-65.4032,-65.4004,-65.3989
350.1,-65.4033,-65.4005,-65.3991
351.1,-65.4042,-65.4018,-65.4005
352.1,-65.4051,-65.4029,-65.4017
353.1,-65.4058,-65.4039,-65.4028
354.1,-65.4065,-65.4047,-65.4038
355.1,-65.4071,-65.4055,-65.4047
356.1,-65.4076,-65.4062,-65.4055
357.1,-65.4081,-65.4068,-65.4062
358.1,-65.4085,-65.4074,-65.4068
359.1,-65.4089,-65.4079,-65.4074
360,-65.4092,-65.4083,-65.4078
360.1,-65.4092,-65.4083,-65.4079
361.1,-65.4095,-65.4087,-65.4083
362.1,-65.4098,-65.4091,-65.4087
363.1,-65.41,-65.4094,-65.4091
364.1,-65.4102,-65.4097,-65.4094
365.1,-65.4104,-65.4099,-65.4097
366.1,-65.4106,-65.4102,-65.4099
367.1,-65.4108,-65.4104,-65.4101
368.1,-65.4109,-65.4105,-65.4103
369.1,-65.411,-65.4107,-65.4105
370,-65.4111,-65.4108,-65.4107
370.1,-65.4111,-65.4108,-65.4107
371.1,-65.4112,-65.411,-65.4108
372.1,-65.4113,-65.4111,-65.411
373.1,-65.4114,-65.4112,-65.4111
374.1,-65.4115,-65.4113,-65.4112
375.1,-65.4115,-65.4114,-65.4113
376.1,-65.4116,-65.4114,-65.4114
377.1,-65.4116,-65.4115,-65.4114
378.1,-65.4117,-65.4116,-65.4115
379.1,-65.4117,-65.4116,-65.4116
380,-65.4117,-65.4116,-65.4116
380.1,-65.4117,-65.4117,-65.4116
381.1,-65.4118,-65.4117,-65.4117
382.1,-65.4118,-65.4117,-65.4117
383.1,-65.4118,-65.4118,-65.4117
384.1,-65.4119,-65.4118,-65.4118
385.1,-65.4119,-65.4118,-65.4118
386.1,-65.4119,-65.4118,-65.4118
387.1,-65.4119,-65.4119,-65.4118
388.1,-65.4119,-65.4119,-65.4119
389.1,-65.4119,-65.4119,-65.4119
390,-65.4119,-65.4119,-65.4119
390.1,-65.4119,-65.4119,-65.4119
391.1,-65.412,-65.4119,-65.4119
392.1,-65.412,-65.4119,-65.4119
393.1,-65.412,-65.412,-65.4119
394.1,-65.412,-65.412,-65.412
395.1,-65.412,-65.412,-65.412
396.1,-65.412,-65.412,-65.412
397.1,-65.412,-65.412,-65.412
398.1,-65.412,-65.412,-65.412
399.1,-65.412,-65.412,-65.412
400,-65.412,-65.412,-65.412
400.1,-65.412,-65.412,-65.412
401.1,-60.7242,-64.0332,-65.0562
402.1,-56.5963,-61.468,-63.5251
403.1,-52.8006,-58.5285,-61.1749
404.1,-48.5969,-55.2709,-58.3416
405.1,-38.6186,-50.614,-54.9007
406.1,18.6168,-30.5298,-46.8367
407.1,28.1798,-6.05138,-26.5347
408.1,18.0525,2.44308,-9.65834
409.1,5.53536,3.20928,-1.195
410,-5.77234,-0.00137215,0.62458
410.1,-6.99213,-0.515874,0.561985
411.1,-18.8358,-6.85911,-2.24288
